,발생년,발생년월일시분,주야,요일,사망자수,사상자수,중상자수,경상자수,발생지시도,발생지시군구,사고유형_대분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,경도,위도
0,2018,2018-02-14 06:35,주,수,1,1,0,0,서울,서대문구,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,126.93927409999999,37.59038756
1,2018,2018-09-02 05:23,야,일,1,1,0,0,서울,용산구,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,보행자,126.9717317,37.54950802
2,2018,2018-12-15 22:35,야,토,1,1,0,0,서울,성북구,차량단독,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,127.0125517,37.59165934
3,2018,2018-08-23 11:30,주,목,1,1,0,0,서울,강북구,차량단독,기타,운전자법규위반,기타(운전자법규위반),단일로,기타단일로,승합차,없음,127.0242273,37.63123983
4,2018,2018-07-16 00:50,야,월,1,1,0,0,서울,강북구,차대사람,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,보행자,127.01958970000001,37.62279351
5,2018,2018-12-30 04:19,야,일,1,1,0,0,서울,강북구,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,127.0221154,37.61236625
6,2018,2018-01-29 07:17,주,월,1,1,0,0,서울,광진구,차대사람,횡단중,운전자법규위반,신호위반,단일로,기타단일로,화물차,보행자,127.0832413,37.53949856
7,2018,2018-05-11 04:47,야,금,1,1,0,0,서울,마포구,차대사람,횡단중,운전자법규위반,과속,단일로,기타단일로,승용차,보행자,126.9527236,37.54646503
8,2018,2018-04-24 23:50,야,화,1,1,0,0,서울,영등포구,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,126.90799579999998,37.51939806
9,2018,2018-02-04 07:07,주,일,1,1,0,0,서울,영등포구,차대사람,횡단중,운전자법규위반,신호위반,교차로,교차로내,승합차,보행자,126.8976481,37.50026411
10,2018,2018-11-29 04:18,야,목,1,1,0,0,서울,성동구,차대사람,기타,운전자법규위반,과속,단일로,기타단일로,승용차,보행자,127.0466383,37.55196461
11,2018,2018-06-17 11:05,주,일,1,1,0,0,서울,성동구,차대차,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,자전거,자전거,127.03263559999999,37.54081437
12,2018,2018-01-04 14:20,주,목,1,1,0,0,서울,동작구,차대사람,기타,운전자법규위반,안전운전 의무 불이행,기타,기타,화물차,보행자,126.9252888,37.50145641
13,2018,2018-02-06 12:00,주,화,1,1,0,0,서울,동작구,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,보행자,126.93741509999998,37.50471459
